,county_fips_code,population,percentile_rank
0,1001,55869,0.12985359643539146
1,1003,223234,0.20942075111394018
2,1005,24686,0.07383831954169319
3,1007,22394,0.1763208147676639
4,1009,57826,0.21865054105665183
5,1011,10101,0.03341820496499045
6,1013,19448,0.07765754296626352
7,1015,113605,0.2511139401654997
8,1017,33254,0.09929980903882878
9,1019,26196,0.305537873965627
10,1021,44428,0.1893698281349459
11,1023,12589,0.14481222151495862
12,1025,23622,0.13303628262253342
13,1027,13235,0.21642266072565244
14,1029,14910,0.3354551241247613
15,1031,52342,0.23583704646721834
16,1033,55241,0.11234882240611076
17,1035,12067,0.02514322087842139
18,1037,10663,0.41311266709102484
19,1039,37049,0.08402291534054743
20,1041,13772,0.2546148949713558
21,1043,83768,0.17091024824952258
22,1045,49172,0.2011457670273711
23,1047,37196,0.030872056015276893
24,1049,71513,0.03946530872056015
25,1051,81209,0.12698917886696373
26,1053,36633,0.03564608529598982
27,1055,102268,0.10598345003182687
28,1057,16302,0.36091661362189686
29,1059,31362,0.03851050286441757
30,1061,26271,0.3828771483131763
31,1063,8111,0.0547422024188415
32,1065,14651,0.02928071292170592
33,1067,17205,0.2431572246976448
34,1069,105882,0.3109484404837683
35,1071,51626,0.09293443666454487
36,1073,658573,0.12889879057924888
37,1075,13805,0.29980903882877147
38,1077,92729,0.2587523870146404
39,1079,32924,0.31444939528962446
40,1081,164542,0.16295353278166771
41,1083,98915,0.22024188415022278
42,1085,9726,0.007001909611712286
43,1087,18068,0.12444302991725016
44,1089,372909,0.133991088478676
45,1091,18863,0.05633354551241248
46,1093,29709,0.08306810948440484
47,1095,96774,0.05728835136855506
48,1097,413210,0.19796308084022915
49,1099,20733,0.09261616804583069
50,1101,226486,0.09643539147040102
51,1103,119679,0.1158497772119669
52,1105,8923,0.002546148949713558
53,1107,19930,0.12476129853596435
54,1109,33114,0.1648631444939529
55,1111,22722,0.10248249522597072
56,1113,57961,0.062380649267982174
57,1115,89512,0.16995544239338
58,1117,217702,0.21101209420751113
59,1119,12427,0.0910248249522597
60,1121,79978,0.27052832590706555
61,1123,40367,0.14894971355824316
62,1125,209355,0.14990451941438573
63,1127,63521,0.06397199236155315
64,1129,16326,0.13812858052196053
65,1131,10373,0.024506683640993
66,1133,23629,0.12603437301082113
67,2013,3337,0.9896562698917887
68,2016,5634,0.9579885423297263
69,2020,288000,0.5913430935709739
70,2050,18386,0.7807129217059198
71,2060,836,0.06874602164226608
72,2068,2097,0.9896562698917887
73,2070,4916,0.9896562698917887
74,2090,96849,0.5378739656269892
75,2100,2530,0.7126034373010821
76,2105,2148,0.9896562698917887
77,2110,31974,0.8787396562698918
78,2122,58708,0.5315085932527053
79,2130,13901,0.8345003182686187
80,2150,12998,0.9229789942711648
81,2158,8314,0.9433481858688734
82,2164,1592,0.9896562698917887
83,2170,108317,0.7476129853596435
84,2180,10004,0.5840229153405474
85,2185,9832,0.9430299172501592
86,2188,7621,0.8265436028007639
87,2195,3266,0.7670273711012094
88,2198,6203,0.9118395926161681
89,2220,8493,0.8943348185868873
90,2230,1183,0.9896562698917887
91,2240,6893,0.9764481222151495
92,2261,9202,0.9896562698917887
93,2275,2502,0.9271164863144494
94,2282,579,0.9896562698917887
95,2290,5230,0.8924252068746021
96,4001,71887,0.01782304264799491
97,4003,125922,0.14035646085295989
98,4005,143476,0.1464035646085296
99,4007,54018,0.16040738383195416
100,4009,38837,0.2692552514322088
101,4011,9498,0.35518777848504135
102,4012,21108,0.059516231699554424
103,4013,4485414,0.05283259070655633
104,4015,212181,0.1276257161043921
105,4017,110924,0.010184595798854232
106,4019,1047279,0.14767663908338638
107,4021,462789,0.09452577975811585
108,4023,46498,0.005092297899427116
109,4025,235099,0.37046467218332274
110,4027,213787,0.004137492043284532
111,5001,17486,0.3338637810311903
112,5003,19657,0.392106938255888
113,5005,41932,0.93475493316359
114,5007,279141,0.3666454487587524
115,5009,37432,0.6537237428389561
116,5011,10763,0.2743475493316359
117,5013,5189,0.888924252068746
118,5015,28380,0.3956078930617441
119,5017,10118,0.04232972628898791
120,5019,22320,0.6680458306810948
121,5021,14551,0.5649267982176958
122,5023,24919,0.5047740292807129
123,5025,7956,0.49649904519414384
124,5027,23457,0.583386378103119
125,5029,20846,0.3841502227880331
126,5031,110332,0.5187778485041374
127,5033,63257,0.43730108211330365
128,5035,47955,0.27657542966263526
129,5037,16419,0.6260343730108211
130,5039,7009,0.805537873965627
131,5041,11361,0.27530235518777846
132,5043,18219,0.46021642266072565
133,5045,126007,0.3475493316359007
134,5047,17715,0.8208147676639084
135,5049,12477,0.9204328453214513
136,5051,99386,0.6575429662635264
137,5053,18265,0.5954805856142584
138,5055,45325,0.7686187141947803
139,5057,21532,0.4338001273074475
140,5059,33771,0.0006365372374283895
141,5061,13202,0.19318905155951624
142,5063,37825,0.7864417568427753
143,5065,13629,0.9312539783577339
144,5067,16719,0.6852323360916613
145,5069,66824,0.24665817950350097
146,5071,26578,0.07511139401654997
147,5073,6624,0.4293443666454488
148,5075,16406,0.5219605346912795
149,5077,8857,0.001273074474856779
150,5079,13024,0.3714194780394653
151,5081,12259,0.5754296626352642
152,5083,21466,0.4102482495225971
153,5085,73309,0.6775938892425207
154,5087,16576,0.4996817313812858
155,5089,16694,0.9468491406747295
156,5091,43257,0.21005728835136855
157,5093,40651,0.19700827498408657
158,5095,6701,0.47422024188415024
159,5097,8986,0.9474856779121579
160,5099,8252,0.2921705919796308
161,5101,7753,0.7313812858052197
162,5103,23382,0.8402291534054742
163,5105,10455,0.7718014003819224
